inv_nr	page_no	langs	page_text	url
1065	293	pt	ene Vat hadasim Jola gasa de Dos hemperador dese ijlas Leij degamde seita Vaga Reiginamale Jaffana patam sete gerla Manar Chilau bate galo palugana ijala primsepe. deu va dena naga pasa dum gorla gale gomude degohazo gorla goruite hebaha gedra. S Sr. Miguembo Maha vala hamij sequdo pomseho he le retario goardator doselo zeal desua Magestate  haa Carta resebi de vM: Nagohal Muito ffolger hepor houtra parte Me pezon muito- damorte do vizxei sertoque Ettricto 3 pezado ha Mijn mais tudo Zesta na Mai de dos porque senhele na se ffas nada #  Golgei Muito hapartida de V. M. Pera holanda quedehos ho¬ Leue Asalicamento hehamais gom panhia pera todonoso ben Lad Cem pera dar larga hen fformasao hareij de holaoda de todas hal Couras gomffio semdeos que Mehade vir hua grosa harmada deel Vei de holanda pera botarnos ffora hestes Raidores portugezes porque henosa homza he delrei deholanda #  Mouas deste reino he hestarmos didiha he denoite engera sem Jermos des gamso Mas promitira deos noso sort que se hagabe Mt. de 2 presa Com bod vuda queme hade vijx porhora nao tenho Mais que hes Cre ver Sena que Roso sor hogohar de pera hos seruj sos Dos Veizes Aamen Ses Crito en gamdea-hatres domes dejanei ro Ao 1617:  Aagora hobrezente off igana gohatto goe las hese te goelas. hale Avam tadas gomta Gos portigezes nao podemos saber te hirao-pordiamte—	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1065_0293
1067	454	msa	 uta kimalaha de tana ambon poema sallakan: kuta poenia Sourat meng santij daulou: kuta souda sourou pada Hamba beta Saraffy, dattang kapada kimalasa de tana ambon poenia sallakan, deng‛ au Seng aedie dulilima. daen oulusiua sammoa kyta minta Coroorra poenia Seutata deng'au rampa, deng'au orang taernaete poenia annack, atas, pada Hamba Saraffu louga, Sonda bancat againa arrous souloula, Sinfata poeu souda bole satou douia, lagu orang ternaete poenia annack poen souda bole Saerang ka douwa orang, Hat rampa tijda broole, lagu kimalasa Dengan Sengaedio ouliluna daen oulisiva, souda brutau pada Hamba beta Saraffu sonda Moussin tuga calu Soivaggar tuda dattan lagu, Radu Hamba beta poulang ijtou, bava pada kumalasa, daen Seng'aedie oulilima oaen oulisiua poenia somba, brutau manghartu: Hamba poulang: baua para Soudarra, Jaeu Seng aedie lessudu nauck toerroet, Sebab: Soudarra deng'an manousita Courang, Jadu ita nauck antar salammnat souda, kyta souda mau sourou Sengaedie lessudu baua kuta poenia pacattasan satou satou, Hania: orang ambon poenia t'Iara Carna Ita toerroet kimalasa poen tuda tau, — Seng' aedie oulilina daen oulisiva poen tuda tau, Jadu kuta tuda sourou, men baua pacattasan satou satou, Carna ankauwa tuda tau sta toerroet Hat: knta brutau Soudaggar poenia adat sadia, sarna kuta deng'an Hollanda bedfantu satou satou tuda, hat t Jincka tonga bemagga, wactou admirael matielieff, wactou kuta bedtand tij ujtou. e tuda toulack pada Soudaggar Isselam lagu trimalasa de tana ambon poenia sallakan, daen Seng' aedie oulilima daen oulisiua: kenal adat daen t' Jara daoulou, Java deng an Malauo, macka toerroet ijtou begutou rouga, lagu kimoolasa, Jang'au brij Java, dengau Malauo, bana t fincke sourou biniagga pada Soudaggar Hollanda ronga. Lagu kunalasa, Jyckalau orang Souvaggar Iselam sampen: pada kimalasa, daen pada Seng aedie onlinna daen oulisma, Incka orang Hollanda, Dita boat Dfasat satou satou, atas: anckau sammoa, Jang'an bru, Carna kuta tuda d'Janszu utou Hobaua Hobaua iang'au bru Incka mousim orang Castela souda lepas, kuta sourou orang dattanglagu lagu kuta minta kunalasa de tana ambon poenia sallakan, Daen oulieuna Daen oulisma, Saekaedaer orang Hollanda poenia outang utou, au Ja kunalasa lourou baeijar sammoar, Hobaua Sabua Carna sebab outang ionga, Jadu soukar Hodiat, daen fetena Cras courang appa pada Douwa orang bahoudarra, kira kira baijck, banck, alla talla stonga, brit oentoene banck: daen Jasat 	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1067_0454
1071	217	pt	Poro portador Ganasa recebj a de Vossa. sen horia ij. por ella. vejo las rasoins, con es quais se demonstra, que el Reij, de Cherobon naon de socorro. pos de Bantam mas que a cubissa d'algunos los fiz andur alla, si por ventura: acasso disso les aconteshio, algun desastro, — pesamos muyto. a V. M. que por as mesmas sobre dichas. raissons declare a su mag. t. come isso se fir por mala. ventoura j. naon. peranos en fadax da amisade que atr agora. tic vimos con su. Magt. por que naon. C. posibeel. de Cognesser los Jaos. descognescidos. se naon que per Caso. nos encontrassent tays buenos. damigos como. v. M. qujaij Presiasan Cappitan darmaijo, torto oontre qual. quier amigos cognescido, por quanto el Reij. teninandado que nunguno. va a. Jaccatra, por que un esto pretexto naon. les venha. ocaziam de., passao otre banda:, essoten. buena apparenzia muijto ben sabemos, , que isso naon. procedo del Reij mesmo. — o se naon dotros mais grandos. e por isso naon damos. culpa a su Magta. mas. continarremos: y. a un avemos d'accrescentar La viesa. amistade naon fultara, o. — todo Poderoso, qui en espande ij. langa. asuas in finita= bendisans. tan lben da banda. del weste. como del oste, dayn dex os seus, se el Mattaram guarde seu. a. Ros., tan ben quardame nos os nossos. dinkeros, Con os quaijn buscaremos otros amigos. De osdo Mattaram. conceden. a oo Chines siendo em Cherobon que vengan. a qui con al gunos far falhadas, o cosas. de poca valia tarsen. O sengor generael les Concede „ depa boluer con otros Maccaderias ij. dinheras, y. asij. pagara. sua. altesa. os amigos. as. seus amisados. i. pidera. a. Beos que los assista contra seus ijmigos., queos de Bantam sendo alla van roncando que Corremos. detraz ellos por pazes, is50. muto ben. creemos el tempo declarera. o Negotio. ade dia os Chinas trasent muijtas novas d'alla se v. M os pueda. a centar la. verdade folgore mos muto., y. reciberemos. mutas mercez—	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1071_0217
1074	459	msa	  ni sourat segalla orang caija caya poulou aij daez Poulou run, dataz pada Gnael Jang de Paliharacan Vallaz pada sacalien tampat. dapon comedien deri itou, kita sacalien minta pada Gnael, aken berboattan Jang de= lapan paracarra itou, suppaya Janhan Jadi fitena comed. lagi, Carna batba tella, segalla orang caija sacaliez tana bandan berdhandsi dengan Gnael, membriacan tanna Bandan sacalien padoe Prince Hollande, Dalam tangan Ou dengan segalla orans caija caija poulou run pon d'emikie lagi membriacat tanna Poulou rus pada Prince Holland dalam tangan Guael Gouga. Sebab itoula, macca kita sacalien minta d'landji pada Gnael aken berboatta Jang dua lapan paracarra itou, suppaija Cangan Cadi fitena Comedien lagi, supaija namma tanae Bandan itou de pagang ols Prince Hollande, Campeij Dounja binassa Douga.  dapon Jans pertama kita sacalien minta d'handsi pada Gnael. Saparacarra Agama kita „ Gangan dia haribiroucansa baraus berboattan agamma kita, melamcan kita sacalien doudoc dengan agamma kita, orans hollande pon doudoc dengan Agammansa Cadua paracarra Janhan haribirou pada arac bini orans Catiga paracarra Jangan massoc pada rouma orans dengan berboattan Ssahat. Ca ampat paracarra Jangan memoucol oranh deuhan tiada salla, d'jicalou salla orans Bandan, Melaincan dengan bit ssara bouga. Calima paracarra Jangan merampas pounja oraren deuga iada souca. Ca auan paracarra Janhan seassat pada oranh denhan barans cardsa, carna kita sacalien tida beassa pada berborttan Jans demikien itou. Catoudsou paracarra Cangan de bava kita prans pada negri lain, melaincan dhica baranh adda mouso dotaz de negri Bandan, macca kita sama samma orans Bandan dengaen orans Hollande meulawban mouso itou. — Cadelapan paracarra, dsica orans Bandan lari pada orang hollande, melaincan dia poulangcan Jonga, attau orans hollande lari pada orans Bandan, melaincan dia poulanscan jouga. suppaija sangan Cadi fitena comedien lagi, daen hangan Cadi bersallachan antara orans Bandan dengan orans Hollands suppaija sempourna bacard Jahan Gnael membaiki tana Bandan, Campeij Dounja binassa Jouga, suppaija mosohour nama Gnael pada baranh  	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1074_0459
1074	463	msa	  dapon lans Esandsi de la pan paracarra itou souda Gnael bri, den Jan dandsi boubaic pada oranh raija caija sacalien Poulou-aij daen Poulou run, tlada dapat orans lain berouba lasi, barans Goubernador Jaus deri Bandan attau Goubernador sang lain tournt Jonga septi d'handsi Gnael pada berboattan de la pan paracarra itou, tiada d'apat orans lain mengardhacan bacard Jahan itou lagi, Carna Gnael souda bri dandhi deugan segalla orans caija caija Pouloucaij daen Poulou van. - Arct Als voy  	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1074_0463
1074	467	msa	  Jan Pietersz Coen Gouvernador Gnael deri pada Prince hollande Orange, den han orans caija caija sacalien deri Negri Hollande, soura bri ampon pada orans Poulou-run, lagi soura cassie padansa doudoc de negrinsa poulou run, tatapi deansa tournt paracarror ini Jans comedien. Sa paracarra orans caija caija lagi nang Cappa capale deri negri poulou run djoendsi lagi basompa deri pada, diaor: pounsa raijat Cacalien, pada deansa poursa Mousax„ samoa samma sama, lagi saorans pada dia hendiri d'sandsi Lahi basompa Macca diaor: mengaco orang besar besar itou, Jang pagans segalla negri hollande pounsa Houcom, lagi prince oranse mensadi diaorans lage tshout Chounja pounja tuan lagis capalla, Jangan boat barans boudi attau mosselehat Padansa, Ratapi lalaijani padansa baibaic, begitou Lagi pada Goubernador Jans ganti pada Gnael desini, lagi tinghal sacaraz desini de tanna Bandan, attau capalla lain, Jans sadi tatou deci Gouberdor itou, attau ganti dia, lage tourut samoa Jans diaor: souro menouro. Orans caija caija lagi capalla samra de Poulou-run bri dalam tangan Gnael, tanna Poulou run, dengan cottanja sacalien, lagi segalla boanja, sexti orans Selammon, Wayar, Gundinner, Combeer daen Rossangijn souda boat daulou. Macca itou Jadi songho songho, boucan den han barans mosselelat, lagi baraus orans lain tida bole minta satou satou deri negri itou, hansa boucan diaor: d'Jandji itou pada diavrag kendiri, tatapi lagi pada diaor: poursa tshoutsson: begitou seperti diaorans bri songho songho, lagi denhan hati tshouts: negri ini padansa, dengan sourat mni. Macca begitou diaerans tida kenal barans orans lain mensadi capallant attau stuanja Jans Halal, Melaincan orans besar besar Jans pagans Hollande pounja houcom, attau: orans itou pang souda tarou desini, berganti deatsa Agar taliattan baibaic Macca diaor: kenal tuanja„ diaor: bri pada diaorag segalla boanja Jang tanna poulou run bri deri sapoulou satont Diaor: bava bonsa palla Camoa de Neraca de Poulou= aij aken djuwal pada naus Clappa souda „ tarou Jesanna „ gadt deri pada Gouvernador membliacan: Hanja Jan Jan diavr: bava boa Jans tida baic, bagi Jansan diaor: dsuwalacan pada orans lain. —  	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1074_0467
1076	206	pt	"A. M sijnaforma quepecde a Machao adito de Maijo letis entes Winte Sum . Lopes Regosta dacidae ad protesto do P. Rector Satisfatendo ao Requerimento Eprotesto do Ao. P. Grabul de maers Nr. aboco legio da Madre de Peos dibta cidade de Macao, dizemos d' assas notorio he a hina conforme asleis ditla nim¬ quem Ses Proprietario deham palmo deterra sem ter foro obrigatorio al lle Eso Ostij hes de toda Ma, Cemparticular desta Emgestames, nem nella Sa chapa poronde Conste gatem dado aos portuqueres, escpuaeixao aqui estar he astespeilo dotrato, ecomercio que temes com oschinas, los Mandarins, ditla setem @ Weus com nosco declarado direndo que Ostateria Eimque estames hedel Roij Lachina Eque cadaus q nos quieter mandar fair detla, of ar a como deffeito ac contecro os a Mos atras quando os Mandar ins nos mo¬ ndaraô notificar q' adispe Jassennes, Cnos saissemes, ditla Enadita occaziao naô ale: garaô os Vreadores que Emtao Erao ser esta terra notsa nem mobtrarao itoles Bondg apossuijmes; Ghandarins ditestirao doque bintad tinhad Comessado accrea deste particular mente fora doslimites donde estacsta cidade Edeficada, Edadita obregai¬ ao, tem papeis assinades pellos Vreadores q. Emtai C r a ladjunto que pesa Ecte negocio Ougouo fez, sendo pois isto assi Esupporto q' esta terra Emque Viuemes naô he norra senao aetreij dachina declaramos, Eprotestames qe comforme aisto nos a vemes dogouernar ldis por ascouzas defericao qe P espeito daitsa Verde Legosddo :ger A dez Estar acompa deposse nas vensa pentum mal nem in quietacas al Ata cida de Emor¬ adores della nem aos Merea dores que forem as feiras desanta assij aprezente q foras fater como as mais qe sefizerem notempo adiante por quanto lite Comerecio nos hetam¬ Cincomendado la Conceruassaô ditle tantas Veris Alsua Mago ecus Veromis, Visto Ogrande prourito Wkilidade qe Resulta detle arodo Oostaco da Jndia la jinda as sen no deportugal. Pello quetornamos aprotestar hua Equantus Ve les necessarias ne foremelindre godimos edeurmos de compa dau conta à onde Equando compris de tub Loque sebre Cota materia emdano desta cidade, Camceruacad do comerio soceder; C peri¬ mes a Umi mande ao lscrinao Affinco gracs qe deste Protesto, e Reposta nossa al lle dada, nos de to dos os triglados autentios q nos forem necessarius pr os apre zentar aos Ti bunais aque pertenier dada na Caza dacamara desta cidade de Machao aor is de Ma¬ 70 de 621. Dero firi de Caruna B30 . Poneiano dabren n Rodrigo sanches deparedes  A tonio doliur aran Say Gonealo terxeira correda à Courenco delir vetos. A Resoado sobre areposta dacida de aoprotesto da: compe acrea daitha Verde, linque sedeclarao d ercito que os Portuque res tem nacidade de Machao Resumindo areposta, que avidade deo ao protesto qu acompur Befes intimar sobre aposse daitha uerde s ad quatro os pontrs cmque notauel mente se ve dihum partma digo a ueren gano, o qual pareceo necessario declararce p bem Atecomcesuacad clamesma Eidade Oi ponto he lite exporestas formacas Pa laurasy Aas notorio he qe naching comforme as Teis della ninquem hest proprietario dihum Palmo deterra sem ter foro obrigatoris allo oqual hes deto da ella„ neste ponto heclaro, Etpatente olngano pois nac sina actrea do do minio Lastereas nad"	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1076_0206
1076	211	pt	"Debroij, Roiseemo soria Posinal q lbreij degortngal tomase p 5 enao estencia omsta 1ogo 9 Elrei de portugal hes desta vida de lainda dochao detla dogtem dominio Satar¬ ntos annos quantros ha g Os portuqueres remarao gevre della, omiessarao al agar obr i6r: to Ouforo qose emdia gagao pig odominio do sirij sobre sum lagar se Cunda no¬ Item sobrelle seue vas alles Edeste naer mandar Evreij seus Minisvros eJusticas acastigar certes Crimes aestacidade neste sicunda tam bem mandar aballa Lac= nurada & Pemedio dus fortalezas, d. Africa querendo q esta cida de como prma daquellas nas necessidades lperiges Emq ebtas asa Jude comsuar Esmslas, nebte¬ final mente sefunda ocuidaco quilem deaprouer de minitros des quaes sustenta Salguns asua Custa como heo Bispo Ctasad as Retous q prouao ser ebta ci da de des Portugue res Epelo conerquinte de brey de porsu. gal das quaes ag mais claramt manifesta Emgano neste. 2 ponto hedo foro ditada anno Ena verdade heCoura digna de ad muracao dar aerdade Csina dese, hum Vordadeiro Epropio de sumosai pagar delle tributo ipro ordenario alt reij Epagando esta crde de foro quinsentes taeis de bou prata qe sao mais de quinsentes erurados gelo chad Emgesta nad querer comfistar acia e qitem dominio dille pebto q prdemes diter q B palauras onas comfessa masq pr Pobras, sij pois a: Nom fortifica aluartes Cartitharia, nad so contra osolandezes, mas tam bem con= pa oschinas q' in Justamente tequirecem tirar suaprsse; Epidem ahbreij qe go¬ na aqur capitao comsoldadicaque e a defenda ze por fim sees portuque les di ffi ndelem Esta crale deschinas q„e in Justa mente Bhaquireum te marEmesse per suq: octo Matassem amuits na aunao dediver q fatiai mal senao m. bem pois de fen¬ „Abrao oseu oq nas quderas dizer selbta terra pra delreij dachina pous lmntam como to mara oleu seria contra e rad Re ristir te Esequande de mandar ini mandaraô notificar aos sortigauezs q esaise m de Maia, edis ge Ja: iem aterra oeVreadores q lmtas er a o nas allegaras serebta terra nosa nem Mobza: rad hitrlo Bonde opoisaij mos; nas ten 5o Eug diter senad q'ounad souberam a Mlegar desen diveico Ousulgaras qe nem tolas a verda des schad de diter emt: ta do otempo senaé quando sepodem defender epor is ro nao prejudiou nada a Posse g'lreij Eos portuquetes tem daei da de phitad Justos icilos nem ual diter mandauao sair esportuqueles logo na sad snoner davidade porgestas coutras morres in Justicas se farem nomunao particular me entre Gentios Nen haperaq, fater caro doq direm o mandarins or denaries gesta terra he delreij dachina Eque nos botara fora della podas as uu res q quiter Porg nemordos entem: dem as Retoins docstado né aobrigaca q tem os Reis de Guardar Justica nog farem; enisto comumente querem diter q' seor portuque res siterem sem Re z0: es q es botara Elrei dachina fora Efacit mente pois tem opoder q tem enos tas pouco, Etam bem nisto metem medo es postugueles aos quaes dete jam sohear Etersogeitos, liedrotos Ebem se ve q nad heisto mais qu Meclo P 9 quando dem apor isto emconsitho destado accordas nog accordarad asduas Veres deque firemos mencao 3 Coxo, Pir manacidade, lodiristirem Osmandarins de mandar sair fora desta ts„r osportique us foi Prig avidade seo brigou alse quardar sinco condicdes Sua das d"	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1076_0211
1076	213	pt	"Oconchifi quando as vio acabadas direndo q sctinha alouantado grandepacira sem fundament, i nota confirmidadle pollo menos folgaramos nos q falara avide pous deuedesaber q O Intenderem com notsas caras foi mero achaque q tomarades chinas qr nos molestarem Eq seacharad emordos hum animo Resulto nunca c5: egarao a a lancar, og pretendiad comtanto per justo damer ma cid e ao dianté Pois q Osportuqueres com osa Haces q mostrarao, l mostraé, Emsinau aoschinas Bonde Bes Lao depagar Efceter mal, lem nad falarem mais q nascaras do: sobrado Edepeis nastareas derrubandeas tam bem ps nad defirimes tad de pr. essa aoq Elles queriam sem falarem Nen Sua so Palaura nailsa deras abuten der bem claramente 9. Eranossa lagosaijames com bom titelo BBisso p Veles medisserao osmandarins q Vieras a Execussad dascazas daparde do Sijtro queso nellas Reparanaô os Mandarini Grandes B Bes terem dite qe Crad fortale ras lpe. isso q dirribadas Ellas tudo Cra merso qe iriames co mo dantes anos Neerear a i lsa Eseaeride nas quer ser snora desitio q tem lporsue norosomes equeremes se railsa Bmaites tibeles quetemes Emostraremes quandi for necessario 4 Cap. 04 Capitalo heto do deprotestos dis asij/ suposto g'estaterra em q Vinemes nado he norsa senas delreij dacsina de Clarames Eprotestames qe onforne aisto nesa Vimos de qoues nar ldepor asouras deffenca e pr respeito dauls a verde degos ta 8e Ao dis Estar¬ acomp. depurre n a o uenha nenhum mal nem lmquietacao achtla cid e mre. della ne aos Mercadores q forem asfeiras de Cantad asim apretente & forad fater como as mais q. schrrerem notempe adiante e d este comercuo mosetam Encomendado aconser, uacao dille tantas aetes Pesusmage eseus Viorreijs uisto o grande prouito heosilida; ae e q resulta delle atvovestads daindia lainda adsteino de portugal Ctornaô logo aprotestar Outras Equantas ueres pedem dacempr d'arconta on d comp: vir deluds og Tobre esta Materia lmdano desta cid ecomseruacao docomercio soledter  Ora agnm couza g sobre este ponto occore esentim deuenq tendo osq qouermnad ostiteles qtem Eterra B suaeconforme al les gederem governar edespor asouzas, confessarem Em. papeis aVtentuos eJuridicos q nad sad snores dat r ullo com siquinte nem Elreij, de portugal cay pessra Repre zentad lomes mo sentimento hemereue pregarce is to empulxites prometenda aste zoades Cassinaars q nas pederad appareler Eser bem Relebides Emtribunaes maiores pois sad im pre Jurto da Coraas, segun= dariamt. seacide nadheEsua, senao del reij dachina nao Etnad neste neg daitha¬ Verde senao como ministres debreij dachina eexelutores, descus Mandabis pederao diter como conseruadores docomercio edacide naforma Egebta mas r sto Respondemes qe nosestamos de posse amuirts a mos de im mediatamt. Virem ter com norco Oe Mandarins quan de querem alqua cousa decomp heâ aclle Respendemes hecem elles nos comsertames, hesepor ventura alquas ue les foras ter com acide Mlay os lincaminhousem preasam Paulo Eselbte a: nno pellos portuquetes Emcantao sedarem p' antores, lseoffe recerem p Exe: cutores de q osmandarins nau guderad alcbar em mediatam te co novo nosde: firimes asuapituad pfi nao per obrigacad q aiso licemes pvis nad liuemes"	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1076_0213
1076	222	pt	Conspangides d' necesida de nos Rogao gtomrmes oti ato des chinas Oser em prouento deste duas si dades nao queren do fazen buscaraô seustimedio q he Coura q o ma quinao de dous annes acstaparte gestenden do fazer Cortalira naponta Austral Laitsa fermo: La Ouabris contrato Em alquas dasitsas dachina og feita como sem duuida Cm geitando nos ocomrato ande fares)nao the saira mais das mars com o q de maij ditodes os in convinentes referides a Vemes de vir erader a Vviagé di tapas soscaste: Banrs delrdo sedes poem arbuscarem onouo esntrate Epello concequinte os Magi. Arades dachina pello pouco prourito Esobrosse qe tem em nes nes botarao dagui co: mo ja p eres nos disserad ye senes quine semes hir nes quitaral &o dos os ars. dittes annes q. Era tem pe bostante pr nes podermes sair do Reino Esedesua ves perdemos estetrato nao cuide ninquem q senodera ternar a a bijplcontinuar Oraseja a qui ora lmquas que Outraparte dausina ps gebsta he a naturesa lgouermo der Mags vade, dla  Detodeo osobre dito sedeira bemuue sequanta Importancia se Ja aconeruacad diste Comescio dachina Coem corporarestas duas Viagens como atras fica dito tanto a ao siruico de Devs como sua Mage ehem doce tades daindia Epm manila de quanto prouei to sr Ja p. 1odo csta ao daindia ep as atfandigas desua Magr Emeorgorando, to do obrato em iescomo ao principio, llomisto sehoem fiax Remedio aos Malis qe de Bet ente osestaô a Meaisando Edocomtario oq u Deoi nas premita se podle a ececar qu u: cos annos seponsa rudo Emestado de pouco Remedio senad lancarmes mado La p re zen te occaziao aco dindo com Pemedio Epieax atempo gascouras opossao ter como sels pera de hum principe tas reloso dosiruico de deor e dasna magestadle.  Outro Fratado. Soore os Spanhoes. fundarem hum forte na ilha fermosa no Lugar chamnab. Lamang. perabem de senComercio de Manisla ed os Chrinabz:  Para quela cindad de Manila concerne Elinato Muija en grande anmento Emar gasti aqui corsarios sin geligro de vlanderis nij Outros cps con vene q a Isla hermorsa Cenlaxar Namada lamang. sefunde un furte Conquerto q'ali dicen aij El qual sera priner: pio degrandes Vienes esiruuo anvestos, s peranca degrande armento dela Real corona Idemucsas onas vrilidadis como severa por las Pacones sequintes.  Elrats lcomereno g lachina tine con manilaesta in gand geligro dese acalar odin en q diminuiion por qe los Mercadores deesina (que sohian, Venir acsta cin da d cotam muy acauades con las peraidas passacas Ven la china aij muchas querras sel: ilis q'cada diase van leuantando Ul tarttaro entra congran Lu fanca BelMler: no dechina, a muerte la flor dela milia dechina lbtatus formadas dila	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1076_0222
